name,review_count,rating,address1,address2,city,state,zip_code,url,id,latitude,longitude,alias,title,price
"Tea Maru - Housemade Boba",90,3.5,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/tea-maru-housemade-boba-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,XpxN-OYmdy2xgQQoKnQ2gg,34.04384,-118.25268,bubbletea,"Bubble Tea",2
"Plant-it Burger",20,4.5,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/plant-it-burger-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,923hiOm0awwaqo92-a-X8Q,34.043771,-118.252636,burgers,Burgers,2
"The Fountain",8,4.5,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/the-fountain-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,Rnqn2PLx7DsVtDun1d1ojw,34.04365,-118.25266,cocktailbars,"Cocktail Bars",2
"Forty’s Bakery and Restaurant ",2,5.0,"119 E 7th St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/forty-s-bakery-and-restaurant-los-angeles-3?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,bvIkstDpZN1Y10ccvdWoKQ,34.043631,-118.250588,mexican,Mexican,2
Funculo,291,4.5,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/funculo-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,wBl2kT_V44-Y7frfdtOusg,34.043793,-118.252639,italian,Italian,2
"DTLA Bodega",55,4.5,"650 S Spring St","Unit R2","Los Angeles",CA,90014,https://www.yelp.com/biz/dtla-bodega-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,scAFYZFTI0Lu98N0Rs9nQw,34.044614,-118.251801,delis,Delis,2
"Bonbonerie Cafe",1,4.0,"719 S Los Angeles St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/bonbonerie-cafe-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,hRPPzV584G5nUviq_0oZeQ,34.04301,-118.25124,coffee,"Coffee & Tea",2
"The Reserve",260,3.5,"650 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/the-reserve-los-angeles-2?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,m5DOIheloy_fYL5grSs-bw,34.04462,-118.25178,danceclubs,"Dance Clubs",2
"Heritage Kitchen",4,4.5,"724 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/heritage-kitchen-los-angeles?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,dj0P_k5GSrUQtZBNk0dn1Q,34.0438563777192,-118.252698281481,newmexican,"New Mexican Cuisine",2
"Juice Crafters",293,4.0,"702 S Spring St",,"Los Angeles",CA,90014,https://www.yelp.com/biz/juice-crafters-los-angeles-13?adjust_creative=X5Beq4YFcWJGL3TdpUzGVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=X5Beq4YFcWJGL3TdpUzGVg,wm7t-vDsCwbw3ykfuKTVTg,34.0444965,-118.2524932,juicebars,"Juice Bars & Smoothies",2
