name,review_count,rating,city,zip_code,id,latitude,longitude,alias,title,price
"Jack in the Box",32,1.5,"Los Angeles",90062,LabVjXWRuqyLAGxhIawSDA,34.0110803,-118.301662355661,burgers,Burgers,1
"Danny's Tacos",424,3.5,"Los Angeles",90015,V5CUd9ZL9ZZEI4v1c4S61g,34.04261,-118.26147,foodtrucks,"Food Trucks",1
"Tacos Super Gallito",20,2.5,"Los Angeles",90034,DIU5jbKGxVyFfn2sk--9LQ,34.035831,-118.377503,foodtrucks,"Food Trucks",1
"Tania's Tacos",4,4.0,"Los Angeles",90026,Oxi_2gvn_X4o5hno0T_D3A,34.075180273,-118.259337433,tacos,Tacos,1
"Taco Zone",674,4.5,"Los Angeles",90026,4Eq3-d9PQKRsx7lBUfjPUA,34.0807756721835,-118.261483535171,mexican,Mexican,1
"JT Cafe",60,4.5,"Los Angeles",90015,FX-WjiGBZz-whOK_GTkf5A,34.03554,-118.26546,italian,Italian,1
"Red Fish Kitchen",48,3.5,"Los Angeles",90035,ZfHO3reY56DliVYFtvDP1g,34.0553283691406,-118.385215759277,sushi,"Sushi Bars",1
"Tacos Don Fernando La",2,5.0,"Los Angeles",90034,DVA8IoUC7KUszaMw8PvdLw,34.037591,-118.378819,mexican,Mexican,1
"Southern Taco",1,4.0,"Baldwin Hills",90008,091oRZ_Ltfp13s68yfK6Tg,34.0094164063281,-118.33482097983263,tacos,Tacos,1
"Chile Verde",20,2.5,"Los Angeles",90008,WLuaeW0Jgy4uA-YAymwm4g,34.010428,-118.336776,mexican,Mexican,1
"Sabores De Oaxaca",73,3.5,"Los Angeles",90034,eFBcReqfnKevi8v20EP5SQ,34.03516,-118.37732,mexican,Mexican,1
"Taco Bell",18,2.0,"Los Angeles",90062,E400K9Av32vfHp580rY1pg,34.01126,-118.29989,mexican,Mexican,1
"Pink Taco",1455,3.5,"Los Angeles",90046,fCzDsLfL5yvlGragBwV40A,34.097805690153,-118.36887065166161,mexican,Mexican,1
"La Fiesta Bakery and Restaurant",3,5.0,"Los Angeles",90062,YBTfEWFdnL-oJujviicBGw,34.01063,-118.30157,bakeries,Bakeries,1
"Todo Verde",61,5.0,"Los Angeles",90068,UdWQu4w9l3Y9aKkioWUryw,34.1139993,-118.3344133,catering,Caterers,1
"Cabo Cantina",460,3.0,"West Hollywood",90069,3hP294WGDgTA6VnL8CAWug,34.09664,-118.370483,mexican,Mexican,1
"La Salsa",44,3.0,"Los Angeles",90071,sNknl9Vp1fxgnCTeZVtqmQ,34.053277,-118.257216,mexican,Mexican,1
Trimana,92,4.0,"Los Angeles",90037,9mHXsA466j-WfqitLT9_Ag,34.016204,-118.286373,mexican,Mexican,1
"Burger Factory",65,2.0,"Los Angeles",90037,Dw5blRdPLXd2WsP9znM1aQ,34.0106363940832,-118.299984969199,mexican,Mexican,1
"Juana La Cubana",15,4.0,"Los Angeles",90007,PrvGlIM0L99VY-AgkFJRMw,34.0310740470886,-118.267290517688,mexican,Mexican,1
"Rodeo Mexican Grill",430,3.0,"Los Angeles",90026,4dGt-8wBw449e2e1nIj8MA,34.0777138,-118.2589755,mexican,Mexican,1
